"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","GET for errorSchema validation","chromium","2026-01-26","passed","2026-01-26","Pet API flow:Error schema validation","Pet\error.spec.js","",""
"","552","POST to create pet","chromium","2026-01-26","passed","2026-01-26","Pet API flow:Error schema validation","Pet\error.spec.js","",""
"","114","Delete a pet","chromium","2026-01-26","passed","2026-01-26","Pet API flow: POST -> GET -> DELETE","Pet\pet.spec.js","",""
"","523","POST to create pet","chromium","2026-01-26","passed","2026-01-26","Pet API flow: POST -> GET -> DELETE","Pet\pet.spec.js","",""
"","119","GET pet by ID","chromium","2026-01-26","passed","2026-01-26","Pet API flow:Error schema validation","Pet\error.spec.js","",""
"","115","GET pet by ID","chromium","2026-01-26","passed","2026-01-26","Pet API flow: POST -> GET -> DELETE","Pet\pet.spec.js","",""
"","118","Delete a pet","chromium","2026-01-26","passed","2026-01-26","Pet API flow:Error schema validation","Pet\error.spec.js","",""
